template page,Line Code,Category,Internal Description,Include,Unit Cost,Unit,Total Cost,Summed_Totals,Dimension,description (title),Calculations,Description (notes),Description (additional guidance),Description5
13,sd66@,Sliding Doors,Sliding Doors  - 5m x 2.4  Heritage,N,"£12,529.00",1.00,"12,529.00",0,,,,Sliding Doors  - 5m x 2.4  Heritage,,
13,sd67@,Sliding Doors,Sliding Doors  - 5m x 2.4  20mm,N,"£13,309.00",1.00,"13,309.00",0,,,,Sliding Doors  - 5m x 2.4  20mm,,
13,sd68@,Sliding Doors,Sliding Doors  - 5m x 2.4  47mm,N,"£11,771.00",1.00,"11,771.00",0,,,,Sliding Doors  - 5m x 2.4  47mm,,
13,sd69@,Sliding Doors,Sliding Doors  - 5m x 2.4  83mm,N,"£10,620.00",1.00,"10,620.00",0,,,,Sliding Doors  - 5m x 2.4  83mm,,
13,sd70@,Sliding Doors,Sliding Doors  - 5m x 2.4 120mm bi-fold,N,"£8,804.00",1.00,"8,804.00",0,,,,Sliding Doors  - 5m x 2.4 120mm bi-fold,,
13,sd71@,Sliding Doors,Sliding Doors  - 5m x 2.5  Heritage,N,"£13,012.00",1.00,"13,012.00",0,,,,Sliding Doors  - 5m x 2.5  Heritage,,
13,sd72@,Sliding Doors,Sliding Doors  - 5m x 2.5  20mm,N,"£14,638.00",1.00,"14,638.00",0,,,,Sliding Doors  - 5m x 2.5  20mm,,
13,sd73@,Sliding Doors,Sliding Doors  - 5m x 2.5  47mm,N,"£12,022.00",1.00,"12,022.00",0,,,,Sliding Doors  - 5m x 2.5  47mm,,
13,sd74@,Sliding Doors,Sliding Doors  - 5m x 2.5   83mm,N,"£10,860.00",1.00,"10,860.00",0,,,,Sliding Doors  - 5m x 2.5   83mm,,
13,sd75@,Sliding Doors,Sliding Doors  - 5m x 2.5 120mm bi-fold,N,"£8,854.00",1.00,"8,854.00",0,,,,Sliding Doors  - 5m x 2.5 120mm bi-fold,,
13,sd76@,Sliding Doors,Sliding Doors  - 6m x 2.1 Heritage,N,"£13,127.00",1.00,"13,127.00",0,,,,Sliding Doors  - 6m x 2.1 Heritage,,
13,sd77@,Sliding Doors,Sliding Doors  - 6m x 2.1 20mm,N,"£14,704.00",1.00,"14,704.00",0,,,,Sliding Doors  - 6m x 2.1 20mm,,
13,sd78@,Sliding Doors,Sliding Doors  - 6m x 2.1 47mm,N,"£12,684.00",1.00,"12,684.00",0,,,,Sliding Doors  - 6m x 2.1 47mm,,
13,sd79@,Sliding Doors,Sliding Doors  - 6m x 2.1 83mm,N,"£11,580.00",1.00,"11,580.00",0,,,,Sliding Doors  - 6m x 2.1 83mm,,
13,sd80@,Sliding Doors,Sliding Doors  - 6m x 2.1120mm bi-fold,N,"£9,486.00",1.00,"9,486.00",0,,,,Sliding Doors  - 6m x 2.1120mm bi-fold,,
13,sd81@,Sliding Doors,Sliding Doors  - 6m x 2.2 Heritage,N,-,1.00,0.00,0,,,,Sliding Doors  - 6m x 2.2 Heritage,,
13,sd82@,Sliding Doors,Sliding Doors  - 6m x 2.2 20mm,N,"£15,103.00",1.00,"15,103.00",0,,,,Sliding Doors  - 6m x 2.2 20mm,,
13,sd83@,Sliding Doors,Sliding Doors  - 6m x 2.2 47mm,N,"£13,200.00",1.00,"13,200.00",0,,,,Sliding Doors  - 6m x 2.2 47mm,,
13,sd84@,Sliding Doors,Sliding Doors  - 6m x 2.2 83mm,N,"£12,060.00",1.00,"12,060.00",0,,,,Sliding Doors  - 6m x 2.2 83mm,,
13,sd85@,Sliding Doors,Sliding Doors  - 6m x 2.2120mm bi-fold,N,"£9,544.00",1.00,"9,544.00",0,,,,Sliding Doors  - 6m x 2.2120mm bi-fold,,
13,sd86@,Sliding Doors,Sliding Doors  - 6m x 2.3  Heritage,N,-,1.00,0.00,0,,,,Sliding Doors  - 6m x 2.3  Heritage,,
13,sd87@,Sliding Doors,Sliding Doors  - 6m x 2.3  20mm,N,"£15,504.00",1.00,"15,504.00",0,,,,Sliding Doors  - 6m x 2.3  20mm,,
13,sd88@,Sliding Doors,Sliding Doors  - 6m x 2.3  47mm,N,"£13,284.00",1.00,"13,284.00",0,,,,Sliding Doors  - 6m x 2.3  47mm,,
13,sd89@,Sliding Doors,Sliding Doors  - 6m x 2.3  83mm,N,"£12,540.00",1.00,"12,540.00",0,,,,Sliding Doors  - 6m x 2.3  83mm,,
13,sd90@,Sliding Doors,Sliding Doors  - 6m x 2.3 120mm bi-fold,N,"£9,601.00",1.00,"9,601.00",0,,,,Sliding Doors  - 6m x 2.3 120mm bi-fold,,
13,sd91@,Sliding Doors,Sliding Doors  - 6m x 2.4  Heritage,N,"£14,104.00",1.00,"14,104.00",0,,,,Sliding Doors  - 6m x 2.4  Heritage,,
13,sd92@,Sliding Doors,Sliding Doors  - 6m x 2.4  20mm,N,"£15,904.00",1.00,"15,904.00",0,,,,Sliding Doors  - 6m x 2.4  20mm,,
13,sd93@,Sliding Doors,Sliding Doors  - 6m x 2.4  47mm,N,"£13,368.00",1.00,"13,368.00",0,,,,Sliding Doors  - 6m x 2.4  47mm,,
13,sd94@,Sliding Doors,Sliding Doors  - 6m x 2.4  83mm,N,"£12,660.00",1.00,"12,660.00",0,,,,Sliding Doors  - 6m x 2.4  83mm,,
13,sd95@,Sliding Doors,Sliding Doors  - 6m x 2.4 120mm bi-fold,N,"£10,016.00",1.00,"10,016.00",0,,,,Sliding Doors  - 6m x 2.4 120mm bi-fold,,
13,sd96@,Sliding Doors,Sliding Doors  - 6m x 2.5  Heritage,N,"£14,304.00",1.00,"14,304.00",0,,,,Sliding Doors  - 6m x 2.5  Heritage,,
13,sd97@,Sliding Doors,Sliding Doors  - 6m x 2.5  20mm,N,"£16,304.00",1.00,"16,304.00",0,,,,Sliding Doors  - 6m x 2.5  20mm,,
13,sd98@,Sliding Doors,Sliding Doors  - 6m x 2.5  47mm,N,"£13,452.00",1.00,"13,452.00",0,,,,Sliding Doors  - 6m x 2.5  47mm,,
13,sd99@,Sliding Doors,Sliding Doors  - 6m x 2.5  83mm,N,"£12,780.00",1.00,"12,780.00",0,,,,Sliding Doors  - 6m x 2.5  83mm,,
13,sd100@,Sliding Doors,Sliding Doors  - 6m x 2.5 120mm bi-fold,N,"£10,073.00",1.00,"10,073.00",0,,,,Sliding Doors  - 6m x 2.5 120mm bi-fold,,
13,sd101@,Sliding Doors,Sliding Doors  - 7m x 2.4 20mm ,N,"£17,556.00",1.00,"17,556.00",0,,,,Sliding Doors  - 7m x 2.4 20mm ,,
13,sd102@,Sliding Doors,Sliding Doors  - 8m x 2.4 20mm,N,"£20,064.00",1.00,"20,064.00",0,,,,Sliding Doors  - 8m x 2.4 20mm,,
