template page,Line Code,Category,Internal Description,Include,Unit Cost,Unit,Total Cost,Summed_Totals,Dimension,description (title),Calculations,Description (notes),Description (additional guidance),Description5
,co15,Contingency ,Fast Drying Screed,Y,£35.00,1.00,35.00,0,3,Fast Drying Screed,,,,
,co15a,Contingency ,Fast Drying Screed (notes),Y,,,,,,,," Tiles can be laid directly onto screed after 48 hours drying time. If however a wooden floor is being laid, 6 weeks drying time will be needed. In order to lay wooden flooring onto screed within 2 weeks of drying time it is possible to upgrade to ‘fast drying screed’ -  additional cost of p/c £650 £35 per m2.    ",,
,co15b,Contingency ,Fast Drying Screed (guidance),Y,,,,,,,,,*PLEASE NOTE – THIS IS DOWN TO THE VARIATION BEING BETWEEN 3-10CM. ,
,co16,Contingency ,Ceiling Levelling ,Y,£100.00,1.00,100.00,0,3,Ceiling Levelling ,,,,
,co16a,Contingency ,Ceiling Levelling (notes),Y,,,,,,,,This quotation includes fitting new plasterboard directly to the original ceiling joists. Should the original ceiling not be level & the client wish to make it level  - additional cost will be p/c £60 – £100 per m2 ,,
,co17,Contingency ,Roof pitch,Y,£50.00,1.00,50.00,0,3,Roof pitch,,,,
,co17a,Contingency ,Roof pitch (notes),Y,,,,,,,,Should the architects not be able to achieve the necessary gradient on the roof pitch to accommodate Eternit slates then a specialist slate will be required. p/c £650 £50psm.  ,,
,co18,Contingency ,Steel work holes ,Y,£250.00,8.00,"2,000.00",0,,Steel work holes ,,,,
,co18a,Contingency ,Steel work holes  (notes),Y,,,,,,,,"In the unlikely event where the beams are not being concealed and a hole is required within the new steel beam to accommodate the pipework, the additional cost will be p/c £250 per hole.  ",,
,co19,Contingency ,Thames Water - Build Over agreement lower price,Y,£343.00,1.00,343.00,0,,Thames Water - Build Over agreement lower price,,,,
,co19a,Contingency ,Thames Water - Build Over agreement lower price (notes),Y,,,,,,,,"Should we be carrying out foundation works within 3 metres of a public sewer, Thames Water’s build over fee will generally be either £343 or £687 depending on the size of the pipe. The Architect will complete relevant forms and oversee application on your behalf at no additional fee.",,
,co20,Contingency ,Thames Water - Build Over agreement higher price,N,£687.00,1.00,687.00,0,,Thames Water - Build Over agreement higher price,,,,
,co21,Contingency ,Deeper Foundation Work - 1m depth ,Y,£550.00,1.00,550.00,0,2,Deeper Foundation Work - 1m depth ,,,,
,co21a,Contingency ,Deeper Foundation Work - 1m depth (notes),Y,,,,,,,,"Our quote allows for standard 1m deep trench foundation. If deeper foundations are required, for any reason, the additional cost will be p/c £550 per linear metre (per additional 1m depth). Or £585 per linear m where foundations exceed 1.50m in depth. If the foundation depth does exceed 1.50m you will also be required to upgrade the concrete slab to a beam and block floor at an additional cost of £70/m2.",,
,co21b,,Deeper Foundation Work - 1m depth  (guidance),Y,,,,,,,,,*PLEASE NOTE – IF WE ARE ADDING LOADINGS TO ANY EXISTING WALLS IT MAY BE NECESSARY TO UNDERPIN THESE WALLS AND ADDITIONAL COST WOULD APPLY. ,
,co22,Contingency ,Deeper Foundation Work - 1.5m depth ,N,£585.00,1.00,585.00,0,2,Deeper Foundation Work - 1.5m depth ,,,,
,co23,Contingency ,Upgrade to concrete slab (required if 1.5m foundations required) ,N,£70.00,1.00,70.00,0,2,Upgrade to concrete slab (required if 1.5m foundations required) ,,,,
,co24,Contingency ,Down draft kitchen extractor,N,£300.00,1.00,300.00,0,,Down draft kitchen extractor,,,,
,co25,Contingency ,Box Gutter,Y,£180.00,1.00,180.00,0,2,Box Gutter,,,,
,co25a,Contingency ,Box gutter (notes),Y,,,,,,,,If your neighbour grants permission for the new wall to straddle the boundary line (i.e.as a party wall) the party wall surveyor may stipulate a lead box gutter. The additional cost will be p/c £180 per linear metre.  ,,
,co26,Contingency ,Boiler temporary set up ,N,£650.00,1.00,650.00,0,,Boiler temporary set up ,,,,
,co26a,Contingency ,Boiler temporary set up (notes),N,,,,,,,,Boiler temporary set up (notes),,
,co27,Contingency ,Powerflush on existing pipework,N,£400.00,1.00,400.00,0,,Powerflush on existing pipework,,,,
,co28,Contingency ,Upgrade of gas piping ,N,"£1,000.00",1.00,"1,000.00",0,,Upgrade of gas piping ,,,,
,co29,Contingency ,Pressure test on existing pipework ,N,£200.00,1.00,200.00,0,,Pressure test on existing pipework ,,,,
,co30,Contingency ,Replace existing pipework when upgrading to pressurised systems ,N,"£1,000.00",1.00,"1,000.00",0,,Replace existing pipework when upgrading to pressurised systems ,,,,
,co31,Contingency ,Gravity fed to pressurised system conversion ,N,£900.00,1.00,900.00,0,,Gravity fed to pressurised system conversion ,,,,
,co32,Contingency ,Additional Manhole,N,"£1,000.00",1.00,"1,000.00",0,,Additional Manhole,,,,
,co33,Contingency ,Damp Issues,Y,,,,0,,DAMP ISSUES ,,,,
,co33a,Contingency ,Damp issues (notes),Y,,,,,,,,"Plus Rooms will not be checking any existing walls for damp penetration. If you have concerns regarding damp, please arrange for a damp specialist to inspect the property prior to works commencing.",,
,co34,Contingency ,Existing Walls,Y,,,,0,,EXISTING WALLS ,,,,
,co34a,Contingency ,Existing Walls (notes),Y,,,,,,,,"Unless specified otherwise, If it isn’t possible to skim onto existing walls then the cost to remove and re-plaster board will be assessed on site. £TBA ",,
,co35,Contingency ,Existing Concrete Floors,Y,,,,0,,EXISTING CONCRETE FLOORS,,,,
,co35a,Contingency ,Existing concrete floors (notes),Y,,,,,,,,"If we quote for removing any existing concrete, this is based on the understanding that it is a standard concrete mix i.e. not re-enforced concrete, with a slab no more than 15cm deep. If the concrete mix is non-standard or greater than 15cm the additional cost to remove any necessary sections is to be assessed & priced on site. £TBA",,
,co36,Contingency ,Neighbours Ground Level,Y,,,,0,,NEIGHBOURS GROUND LEVEL,,,,
,co36a,Contingency ,Neighbours Ground Level (notes),Y,,,,,,,,"Unless explicitly stated within the further requirements section of the Project Details, this quotation has been based on the expectation that the ground level in the adjoining property is similar to yours. Should the neighbours ground level be lower than yours, we will need to increase the depth of the foundations and this will be charged in accordance with the contingency for “Deeper Foundations”. A lower ground level in the adjoining property can also affect the wall height that the council are willing to approve for the extension.  ",,
,co37,Contingency ,Existing Beams,Y,,,,0,,EXISTING BEAMS,,,,
,co37a,Contingency ,Existing Beams (notes),Y,,,,,,,,Any existing beams in the ceiling that are affected by the works will be assessed on site for suitability in terms size and specification. The replacement or amendment of existing beams will be considered an extra and will be priced on site. p/c £TBC,,
,co38,Contingency ,1st Floor Window Replacement,Y,,,,0,,1st FLOOR WINDOW REPLACEMENT,,,,
,co38a,Contingency ,1st Floor Window Replacement(notes),Y,,,,,,,," If the new roof structure cuts across the bottom of any 1st floor windows, there will be an additional cost to reduce the opening and replace the window.",,
,co39,Contingency ,Kitchen Extraction,Y,,,,0,,KITCHEN EXTRACTION,,,,
,co39a,Contingency ,Kitchen Extraction (notes),Y,,,,,,,,As standard the quote will allow for the installation of a 6” duct to accommodate an eye level extractor fan. Should a down draft extractor fan be included in the kitchen design that requires installation through the floor then an additional cost will apply – p/c £300.00.   ,,
,co40,Contingency ,Replacement Glazing to Existing Openings ,Y,,,,0,,REPLACEMENT GLAZING TO EXISTING OPENINGS,,,,
,co40a,Contingency ,Replacement Glazing to Existing Openings (notes),Y,,,,,,,,New glazing to existing openings will require an onsite assessment once the existing glazing has been removed. If it is necessary to replace the lintel or render the existing reveals this can be priced on site by the contractor. ,,
,co41,Contingency ,Glazing Products,Y,,,,0,,GLAZING PRODUCTS,,,,
,co41a,Contingency ,Glazing Products (notes),Y,,,,,,,,All glazing products and sizes are subject to technical assessment and site survey from the glazing company. ,,
,co42,Contingency ,Plumbing,Y,,,,0,,PLUMBING,,,,
,co42a,Contingency ,Plumbing (notes),Y,,,,,,,,"i) Temporary set up – Should the boiler need to be temporarily moved and set up prior to its final relocation or replacement. p/c £650. (*PLEASE NOTE – THIS IS BASED ON MOVING THE BOILER UP TO 1.5M AWAY FROM ITS CURRENT LOCATION.)
ii) On assessment by the plumber you may be advised to have a power flush on existing pipe work. p/c £400.
iii) Upgrading the gas pipe from the gas metre from 22mm to 28mm. p/c £500 – £1,000.
iv) On assessment by the plumber you may be advised to have a pressure test on existing pipework. p/c £200
v) Replace existing main pipework as a result of upgrading to a pressurised system. p/c £500 – £1,000.
vi) If the plumber is installing a new combi boiler & converting from a gravity fed system to a pressurised system, depending on existing pipework & location of existing tanks, additional work may be required. p/c £900""",,
,co43,Contingency ,Undergrouond Pipes ,Y,,,,0,,UNDERGROUND PIPES,,,,
,co43a,Contingency ,Undergrouond Pipes  (notes),Y,,,,,,,,"i) The quote assumes the drains are of a standard depth approx. 1.00m. We also make the reasonable assumption that we can connect to/extend the existing underground drainage where required.
*NO ALLOWANCE HAS BEEN MADE TO REPLACE ANY OF THE EXISTING DRAINAGE*.
ii) If pipes are discovered/located under the ground where we are constructing, permission for either relocating the pipes or for bridging over the pipes may be required. The cost and method of proceeding can only be decided after an on-site consultation with the building inspector.
iii)The quotation has allowed for 1x additional inspection chamber. Should Thames Water or building control require any additional manholes there will be an additional cost",,
,co44,Contingency ,Fire Regulations,Y,,,,0,,FIRE REGULATIONS,,,,
,co44a,Contingency ,Fire regulations (notes),Y,,,,,,,,Any additional matters relating to fire/building Regulations.,,
,co45,Contingency ,Asbestos ,Y,,,,0,,ASBESTOS,,,,
,co45a,Contingency ,Asbestos (notes),Y,,,,,,,,The quote does not provide for any asbestos removal. Should there be asbestos within any relevant areas the client will arrange for the removal by a specialist prior to the works commencing.,,
,oe1#,Optional Extras ,Chimney Breasts ,Y,,,,0,,,,CHIMNEY BREASTS,,
,oe1a,Optional Extras ,Chimney Breasts (notes),Y,,,,0,,,,"Unless specifically mentioned within the ‘Further requirements’ section, the removal of chimney breasts has NOT been included in the main quote. 

The approximate costs to remove any chimney breast would be as follows; ",,
,oe1b,Optional Extras ,Chimney Breasts (table note one) ,Y,,,,0,,,,Within the outrigger (typical kitchen):,,
,oe1c,Optional Extras ,Chimney Breasts (table note two) ,Y,,,,0,,,,Within the main frame (typical rear reception):,,
,oe1d,Optional Extras ,Chimney Breasts (table price one) ,Y,,,,0,,,,"£3,850.00",,
,oe1e,Optional Extras ,Chimney Breasts (table price two) ,Y,,,,0,,,,"£4,800.00",,
,oe1f,Optional Extras ,Chimney Breasts (Guidance) ,Y,,,,0,,,,,*PLEASE NOTE – ANY FLOORPLANS PROVIDED AT THIS STAGE ARE TEMPLATED FOR SIMILAR PROPERTIES AND MAY NOT NECESSARILY SHOW ACCURATE POSTITIONS OF EXISTING CHIMNEYS. ,
,oe2#,Optional Extras ,Sky Lights,N,,,,0,,,,Sky Lights,,
,oe2a,Optional Extras ,Sky lights (notes),N,,,,0,,,,"The additional* cost to supply and fit internally, frameless & sealed glass sky lights to the roof as an alternative to the Velux windows shown in the main quotation. ",,
,oe2b,Optional Extras ,Sky lights (tabel label one) ,N,,,,0,,Product ,,,,
,oe2c,Optional Extras ,Sky lights (tabel label two) ,N,,,,0,,Glazing Spec,,,,
,oe2d,Optional Extras ,Sky lights (tabel notes one) ,N,,,,0,,,,"Double glazed, 28mm sealed units. Aluminium framed",,
,oe2e,Optional Extras ,Sky lights (tabel notes two) ,N,,,,0,,,,"Toughened, Soft coat glass, double glazed, solar reflective, silicone sealed, self-cleaning, argon gas filled with warm edge spacer bar.",,
,oe2f,Optional Extras ,Sky lights (guidance) ,N,,,,0,,,,,"ADDITIONAL LED STRIP OPTION: 
                        Building Works  £400 each – Create channel niche around reveal of sky light
                        Electrician £650 each – Supply and fit LED strip and drivers.",
,oe2g,Optional Extras ,Sky lights (option one heading),N,,,,0,,"OPTION 1 – 2 x Skylights - £6,480",,,,
,oe2h,Optional Extras ,Sky lights (option one price breakdown) ,N,,,,0,,,,"●        £ 2,880.00 - 1x 1.00m x 2.00m – Single panel sky light.
●        £ 3,600.00 - 1x 1.00m x 2.50m – Single panel sky light.",,
,oe2i,Optional Extras ,Sky lights (option one price total) ,N,,,,0,,"TOTAL P/C £1,730.00 additional cost   ",,,,
,oe2j,Optional Extras ,Sky lights (option two heading) ,N,,,,0,,"OPTION 1 – 2 x Skylights - £6,480",,,,
,oe2k,Optional Extras ,Sky lights (option two price breakdown) ,N,,,,0,,,,"●        £2,880.00 - 1x 1.00m x 2.00m – Single panel sky light.
●        £6,520.00 - 1x 1.00m x 4.00m – Three-piece sky light with 2 structural silicone joints.",,
,oe2l,Optional Extras ,Sky lights (option two price total) ,N,,,,0,,"TOTAL P/C £4,650 additional cost",,,,
,img6,images,skylight image 3 (optional extras) ,N,,,,0,,https://drive.google.com/uc?export=view&id=17Ykyza2qg8CP-oEWcWGntlfV4ewQq9bL,,,,
,img7,images,skylight image 4 (optional extras) ,N,,,,0,,https://drive.google.com/uc?export=view&id=1p96FNvw9IObbVYDiF3Dc3WqFLCSe9HAi,,,,
,oe3#,Optional Extras ,Alternative Glazing Option - Up & Over Feature,N,,,,0,,,,Alternative Glazing Option - Up & Over Feature,,
,oe3a,Optional Extras ,Alternative Glazing Option - Up & Over Feature (notes) ,N,,,,0,,,,The cost to supply and fit an angled fixed glass panel to the rear wall with a glazed roof section similar to the images shown below as an alternative to the smaller skylights and wider doors given in the main quotation. ,,
,oe3b,Optional Extras ,Alternative Glazing Spec (table label one) ,N,,,,0,,Product ,,,,
,oe3c,Optional Extras ,Alternative Glazing Spec (table label two) ,N,,,,0,,Glaing Spec ,,,,
,oe3d,Optional Extras ,Alternative Glazing Spec (table notes one) ,N,,,,0,,,,"Double glazed, 28mm sealed units. The external framework to be aluminium caped. ",,
,oe3e,Optional Extras ,Alternative Glazing Spec (table notes two) ,N,,,,0,,,,"Toughened, solar reflective, double glazed, silicone sealed units, self-cleaning, argon gas filled, Soft coat glass with warm edge spacer bar.",,
,oe3f,Optional Extras ,Overall Alternative Glazing Spec (skylight size sub-title) ,N,,,,0,,,,Overall sky light size:,,
,oe3g,Optional Extras ,Alternative glazing spec (price breakdown) ,N,,,,0,,,,"●        £10,302.00 - 1x Ultra slim sliding doors – 2.8m x 2.3
●        £3,840.00 – 1x Angled glass panel – 1.1m x 2.5m.
●        £13,775.00 – 1x Glazed roof 1.3m x 6.5m – Five piece sky light with 4 structural silicone joints.
●        £4,890.00 – 1x Structural skylight 1m x 3m ",,
,oe3h,Optional Extras ,Alternative glazing spec (guidance) ,N,,,,0,,,,,"ADDITIONAL LED STRIP OPTION       
BUILDING WORKS  £400 EACH - CREATE CHANNEL NICHE AROUND REVEAL OF SKY LIGHT
ELECTRICIAN £650 EACH - SUPPLY AND FIT LED STRIP AND DRIVERS.",
,oe3i,Optional Extras ,Alternative glazing pricing (price total),N,,,,0,,"TOTAL P/C £ 32,807 – an additional £16,787 to the main quote ",,,,
,img33,images,Alternative glazing (option 1),N,,,,,,https://drive.google.com/uc?export=view&id=1zmBPsTlWKZZ7C_81kUo42OH_GigTYXmr,,,,
,img34,images,Alternative glazing (option 2),N,,,,,,https://drive.google.com/uc?export=view&id=1iYfOkvt3rWvqt9ljQqqUidMrAB8TvGjf,,,,
,img35,images,Alternative glazing (option 3),N,,,,,,https://drive.google.com/uc?export=view&id=1OHO-YMGEwZJmv6_I98P-iIZGygOxmE5L,,,,
,oe4#,Optional Extras ,Mist System,N,,,,0,,,,Mist System,,
,oe4a,Optional Extras ,Mist system (notes) ,N,,,,0,,,,The cost to supply and fit an angled fixed glass panel to the rear wall with a glazed roof section similar to the images shown below as an alternative to the smaller skylights and wider doors given in the main quotation ,,
,oe4b,Optional Extras ,Mist system (table label one) ,N,,,,0,,iMist System,,,,
,oe4c,Optional Extras ,Mist system (table label two) ,N,,,,0,,Engineer's report ,,,,
,oe4d,Optional Extras ,Mist system (table price one) ,N,,,,0,,,,"£5,500.00",,
,oe4e,Optional Extras ,Mist system (table price one) ,N,,,,0,,,,"£1,000.00",,
,oe4f,Optional Extras ,Mist system (guidance) ,N,,,,0,,,,,"*PLEASE NOTE - THIS PRICE IS A GUIDE PRICE FOR INSTALLATION OF A 3 NOZZLE MIST SYSTEM TO THE GROUND FLOOR. THE QUOTE DOESN’T INCLUDE ANY ADDITIONAL WORK THAT MAY BE REQUIRED AS A RESULT OF THE MIST SYSTEM ASSESSMENT AND ENGINEERS REPORT. 

*PLEASE NOTE – PLUMBING AND ELECTRICS ARE DETAILED WITHIN THE CATEGORIES SECTIONS ABOVE. ",
,oe4g,Optional Extras ,Mist system (price total),N,,,,0,,,,,,
,oe5#,Optional Extras ,Format - Extras/Alternative,N,,,,0,,,,Format - Extras/Alternative,,
,oe5a,Optional Extras ,Format (notes),N,,,,0,,,,The additional* cost to create a taller opening in the rear wall to accommodate crittal effect sliding doors as per the image below. ,,
,oe5b,Optional Extras ,Format (price breakdown),N,,,,0,,,,"● £3,245.00 – Conceal the flank and rear wall steels within the ceiling as best as possible. This allows for the creation of 2 holes within the beam accommodating 1st floor bathroom pipes. This is subject to an onsite inspection. 
● £2,700.00 – Supply & install 20mm ultra slim profile crittal effect sliding doors - 4m width x 2.5m.",,
,oe5c,Optional Extras ,Format (price total) ,N,,,,0,,TOTAL P/C £ 545*,,,,
,img36,image ,Format - Extras Alternatives (image missing),N,,,,,,https://drive.google.com/uc?export=view&id=,,,,
,oe6#,Optional Extras ,Glass Valley,N,,,,0,,,,Glass Valley,,
,oe6a,Optional Extras ,Glass Valley (notes) ,N,,,,0,,,,The cost to supply & fit a custom glass panel to create a new glass valley to the new kitchen extension roof. This detail in the roof vaults up above the rear living room entrance and helps maximise both light and height into this area.,,
,oe6b,Optional Extras ,Glass valley (table one label one) ,N,,,,0,,Product,,,,
,oe6c,Optional Extras ,Glass valley (table one label two) ,N,,,,0,,Glazing Spec,,,,
,oe6d,Optional Extras ,Glass valley (table one notes one) ,N,,,,0,,,,"Double glazed, aluminium framed shaped glass unit ",,
,oe6e,Optional Extras ,Glass valley (table one notes two) ,N,,,,0,,,,"Toughened, double glazed, silicone sealed units, soft coated glass, argon gas filled, with warm edge spacer bar.",,
,oe6f,Optional Extras ,Glass valley (table two label one) ,N,,,,0,,Building works,,,,
,oe6g,Optional Extras ,Glass valley (table two label two) ,N,,,,0,,Glazing,,,,
,oe6h,Optional Extras ,Glass valley (table two notes one) ,N,,,,0,,,,"£1,600.00",,
,oe6i,Optional Extras ,Glass valley (table two notes two) ,N,,,,0,,,,"£3,300.00",,
,oe6j,Optional Extras ,Glass valley (price total),N,,,,0,,"TOTAL P/C £ 4,900.00 (inc. of VAT)",,,,
,oe7#,Optional Extras ,Rear Reception Chimney Breast Removal,N,,,,0,,,,Rear Reception Chimney Breast Removal,,
,oe7a,Optional Extras ,Rear reception chimney breast removal (notes),N,,,,0,,,,"The additional cost to remove the chimney breast within the rear reception room. inserting necessary steel beams, column and pad foundation. Make good the disturbed ceiling area and replaster where necessary.",,
,oe7b,Optional Extras ,Rear reception chimney breast removal (price total) ,N,,,,0,,"TOTAL P/C £ 4,235.00",,,,
,oe7c,Optional Extras ,Rear reception chimney breast removal  (guidance),N,,,,0,,,,,*PLEASE NOTE - WALL AND CEILING BEAMS MAY NEED TO BE BOXED IN AND VISIBLE. EXACT DIMENSIONS WOULD BE ASSESSED ON SITE AT THE START OF THE BUILDING WORKS,
,oe8#,Optional Extras ,Kitchen Chimney Removal,N,,,,0,,,,Kitchen Chimney Removal,,
,oe8a,Optional Extras ,Kitchen chimney removal (notes),N,,,,0,,,,"Remove chimney breast within kitchen only, inserting necessary steel beams. Reinstate disturbed area of ceiling and apply Sika1 render to the existing wall.",,
,oe8b,Optional Extras ,Kitchen chimney removal (price total) ,N,,,,0,,"TOTAL P/C £ 3,850.00",,,,
,oe8c,Optional Extras ,Kitchen chimney removal  (guidance),N,,,,0,,,,,*PLEASE NOTE - WALL AND CEILING BEAMS MAY NEED TO BE BOXED IN AND VISIBLE. EXACT DIMENSIONS WOULD BE ASSESSED ON SITE AT THE START OF THE BUILDING WORKS. ,
,oe9#,Optional Extras ,Internal pocket door system,N,,,,0,,,,Internal pocket door system,,
,oe9a,Optional Extras ,Internal pocket door system (notes) ,N,,,,0,,,,"The additional cost to supply and install Eclisse pocket internal sliding door. 0.69m x 2.00m. Four 
panel door with standard flush chrome handles.  ",,
,oe9b,Optional Extras ,Internal pocket door system (total price) ,N,,,,0,,"TOTAL p/c £ 1,700.00",,,,
,img37,images,Pocket door system,N,,,,,,https://drive.google.com/uc?export=view&id=1gWt0irNyUoiS_mdOyS3eEa5JGdtfakcp,,,,
,oe10#,Optional Extras ,Plaster whole house,N,,,,0,,,,Plaster whole house,,
,oe10a,Optional Extras ,Plaster whole house (notes),N,,,,0,,,,Remove the existing plaster.  Plasterboard and skim the ceilings. Plaster skim the walls.,,
,oe10b,Optional Extras ,Plaster whole house (total price),N,,,,0,,"TOTAL p/c £ 13,000.00",,,,
,oe10c,Optional Extras ,Plaster whole house (guidance),N,,,,0,,,,,*PLEASE NOTE - THIS IS BASED ON THE EXPECTATION THAT ALL WALLPAPER HAS BEEN REMOVED AND EXISTING PLASTER WORK IS IN A STABLE CONDITION.,
,oe11#,Optional Extras ,Glazing Upgrade,N,,,,0,,,,Glazing Upgrade,,
,oe11a,Optional Extras ,Glazing upgrade (notes),N,,,,0,,,,The additional* cost to create a glazed gable with slim profile doors as per the image below.,,
,oe11b,Optional Extras ,Glazing upgrade (price breakdown) ,N,,,,0,,,,"●        £2,750.00 – Insert new steel framework to the rear to accommodate the glass triangle.
●        £5,214.00 – Supply & install custom glass to the apex above the door.
●        £1,850.00 – Supply & install 20mm ultra slim profile sliding doors measuring 4m width x 2.10m height.
",,
,oe11c,Optional Extras ,Glazing Upgrade (price total) ,N,,,,0,,"TOTAL P/C £ 9,814*",,,,
,oe11d,Optional Extras ,Glazing upgrade (guidance) ,N,,,,0,,,,,"●	Additional notes – a £2,000 reduction has been applied in respect of the reduced building worked required to the gable - should you not chose to proceed with the glazed gable then this would no longer apply and the £2,000 would be added back to the building works. ",
,img38,images,Glazing upgrade ,N,,,,,,https://drive.google.com/uc?export=view&id=1YiP7NwfEbJlIYQthIm9w9ofZe2RjstvH/,,,,
,oe12#,Optional Extras ,Kitchen Underflooring Heating,Y,,,,0,,,,Kitchen Underflooring Heating,,
,oe12a,Optional Extras ,Kitchen Underflooring Heating (notes) ,Y,,,,0,,,,The additional cost to lay new ‘low profile’ wet under floor heating system throughout the kitchen with 1x digital thermostats. ,,
,oe12b,Optional Extras ,Kitchen Underflooring Heating (guidance) ,Y,,,,0,,,,,"*PLEASE NOTE;
●        This will add an additional week onto scheduled timeframe once the building works are finished.
●        The overall floor level will raise up by 3cm.
●        If not replacing the existing boiler then it will need to be assessed as it may need to be replaced due to the additional demands of the under-floor heating. ",
,oe12c,Optional Extras ,Kitchen Underflooring Heating (total price) ,Y,,,,0,,"TOTAL P/C £ 3,880.00 based on an area up to 40m2 ",,,,
,img39,image ,Underfloor heating (image 1),Y,,,,,,https://drive.google.com/uc?export=view&id=1QBdgw8eUJt6acBdLUaoRH-3PVoNPQFHO,,,,
,img40,image ,Underfloor heating (image 2),Y,,,,,,https://drive.google.com/uc?export=view&id=1gn1nWExOViM8xwHAlEyL9VUbPvy19tx2,,,,
,oe13#,Optional Extras ,Hardwood Sash Windows ,N,,,,0,,,,Hardwood Sash Windows ,,
,oe13a,Optional Extras ,Hardwood Sash Windows (notes),N,,,,0,,,,The cost to supply and fit hardwood Accoya sash windows. ,,
,oe13b,Optional Extras ,Hardwood Sash Windows (table lable one) ,N,,,,0,,PRODUCT ,,,,
,oe13c,Optional Extras ,Hardwood Sash Windows (table lable two) ,N,,,,0,,GLAZING SPEC,,,,
,oe13d,Optional Extras ,Hardwood Sash Windows (table lable three) ,N,,,,0,,FINISHED,,,,
,oe13e,Optional Extras ,Hardwood Sash Windows (table lable four) ,N,,,,0,,OVERALL SIZES,,,,
,oe13f,Optional Extras ,Hardwood Sash Windows (table notes one) ,N,,,,0,,,,"Double glazed, sealed units to include pulley wheels, fitch fastener, push lock and sash lift.",,
,oe13g,Optional Extras ,Hardwood Sash Windows (table notes two) ,N,,,,0,,,,"Soft coat toughened, Argon filled, with warm edge spacer bar.",,
,oe13h,Optional Extras ,Hardwood Sash Windows (table notes three) ,N,,,,0,,,,White finish as standard,,
,oe13i,Optional Extras ,Hardwood Sash Windows (table notes four) ,N,,,,0,,,,1x 1.2m x 1.8m – Single sash window,,
,oe13j,Optional Extras ,Hardwood Sash Windows (total price) ,N,,,,0,,"TOTAL P/C £ 3,220",,,,
,img41,image ,Hardwood Sash Windows ,N,,,,,,https://drive.google.com/uc?export=view&id=1sLPBFYnLgkbr6cY4hih3PRR2vxRLX5zd,,,,
,oe14#,,Remove and replace existing kitchen floor ,N,,,,,,,,Remove and replace existing kitchen floor ,,
,oe14a,,Remove and replace existing kitchen floor (notes),N,,,,,,,,"The additional cost to remove the existing kitchen floor joists and replace with a new fully building regulation compliant concrete insulated floor. This would involve new hardcore, membrane, concrete, insulation and screed. This will create 1 consistent floor composition throughout the entire kitchen. ",,
,oe14b,Optional Extras ,Remove and replace existing kitchen floor (total price),N,,,,0,,,,"TOTAL P/C £ 7,000.00",,
,oe15@,Optional Extras ,"Conceal/raise flank & rear wall steels (£3,500.00)",N,,,,0,,,,Conceal/raise flank & rear wall steels,,
,oe15a,Optional Extras ,Conceal/raise flank & rear wall steels (notes),N,,,,0,,,,The flank and rear wall steels are to be concealed within the ceiling as best as possible. This allows for the creation of 2 holes within the steel beam accommodating 1st floor bathroom pipes. This is subject to an onsite inspection. ,,
,oe15b,Optional Extras ,Conceal/raise flank & rear wall steels (guidance),N,,,,0,,,,,"*PLEASE NOTE – 
▪ 1ST FLOOR DISTURBANCE – THIS IS LIKELY TO CAUSE SOME LOW-LEVEL DAMAGE TO THE 1ST FLOOR BEDROOM & BATHROOM ABOVE. THE COST TO REPAIR AND MAKE GOOD IS TO BE ASSESSED/ PRICED ON SITE BY OUR FINISHINGS TEAM.
▪ REDUCTION TO EXISTING CEILING – IN ORDER TO ACHIEVE A COMPLETELY FLUSH FINISH IT MAY ALSO BE NECESSARY TO SLIGHTLY REDUCE THE EXISTING CEILING HEIGHT AND CREATE A NEW SUSPENDED CEILING. THE ADDITIONAL COST SHOULD THIS BE REQUIRED IS P/C £700*
▪ CHIMNEY STEELS – SHOULD THE CLIENT WISH TO REMOVE THE CHIMNEY THEN THE COST TO CONCEAL THE CHIMNEY STEELS WILL BE AN ADDITIONAL £1,000.
▪ EXISTING PIPEWORK – THERE WILL BE AN ADDITIONAL COST FOR CUTTING HOLES THROUGH ANY STEEL BEAMS IN ORDER TO ACCOMMODATE ANY EXISTING PIPEWORK. p/c £100 per hole.",
,oe15c,Optional Extras ,Conceal/raise flank & rear wall steels (total-price),N,,,,0,,"TOTAL P/C £ 3,500.00",,,,
,oe16@,Optional Extras ,"Conceal/raise flank, rear wall & chimney steels (£4,655.00)",Y,,,,0,,,,"Conceal/raise flank, rear wall & chimney steels",,
,oe16a,Optional Extras ,"Conceal/raise flank, rear wall & chimney steels (notes)",Y,,,,,,,,"The flank, rear wall and chimney steels are to be concealed within the ceiling as best as possible. This allows for the creation of 2 holes within the steel beam accommodating 1st floor bathroom pipes. This is subject to an onsite inspection. ",,
